id,date,store,item,sales
0,01-01-2018,1,1,12.19978693
1,02-01-2018,1,1,12.05039033
2,03-01-2018,1,1,12.40298465
3,04-01-2018,1,1,13.60475795
4,05-01-2018,1,1,14.364701
5,06-01-2018,1,1,15.50775057
6,07-01-2018,1,1,17.11867799
7,08-01-2018,1,1,9.066779474
8,09-01-2018,1,1,9.807755799
9,10-01-2018,1,1,10.45860775
10,11-01-2018,1,1,11.1393769
11,12-01-2018,1,1,12.97138462
12,13-01-2018,1,1,13.80782941
13,14-01-2018,1,1,16.54510481
14,15-01-2018,1,1,8.695243593
15,16-01-2018,1,1,9.148297647
16,17-01-2018,1,1,10.31354233
17,18-01-2018,1,1,10.83884989
18,19-01-2018,1,1,12.3926406
19,20-01-2018,1,1,15.27105041
20,21-01-2018,1,1,17.50016883
21,22-01-2018,1,1,8.748550195
22,23-01-2018,1,1,11.08802004
23,24-01-2018,1,1,11.06149817
24,25-01-2018,1,1,13.33249787
25,26-01-2018,1,1,14.48702035
26,27-01-2018,1,1,19.64899631
27,28-01-2018,1,1,20.48664421
28,29-01-2018,1,1,12.67379998
29,30-01-2018,1,1,15.06571214
30,31-01-2018,1,1,15.22384569
31,01-02-2018,1,1,23.43310298
32,02-02-2018,1,1,24.8450845
33,03-02-2018,1,1,26.60159579
34,04-02-2018,1,1,28.66985758
35,05-02-2018,1,1,16.56504483
36,06-02-2018,1,1,20.82261294
37,07-02-2018,1,1,20.59841228
38,08-02-2018,1,1,22.49192446
39,09-02-2018,1,1,24.17754856
40,10-02-2018,1,1,26.13907246
41,11-02-2018,1,1,28.46915136
42,12-02-2018,1,1,16.16280587
43,13-02-2018,1,1,19.86025271
44,14-02-2018,1,1,19.73558489
45,15-02-2018,1,1,22.21116096
46,16-02-2018,1,1,24.16889739
47,17-02-2018,1,1,26.25149267
48,18-02-2018,1,1,28.65870569
49,19-02-2018,1,1,16.22806914
50,20-02-2018,1,1,19.96754646
51,21-02-2018,1,1,19.85438181
52,22-02-2018,1,1,22.11822424
53,23-02-2018,1,1,23.86222432
54,24-02-2018,1,1,25.9502622
55,25-02-2018,1,1,28.34651003
56,26-02-2018,1,1,15.96271184
57,27-02-2018,1,1,19.69053402
58,28-02-2018,1,1,19.5974374
59,01-03-2018,1,1,28.33777319
60,02-03-2018,1,1,29.86131203
61,03-03-2018,1,1,31.62993064
62,04-03-2018,1,1,33.32124786
63,05-03-2018,1,1,21.24181425
64,06-03-2018,1,1,25.88681131
65,07-03-2018,1,1,25.38620507
66,08-03-2018,1,1,26.64724353
67,09-03-2018,1,1,28.22863064
68,10-03-2018,1,1,29.91609428
69,11-03-2018,1,1,32.20172691
70,12-03-2018,1,1,20.53939904
71,13-03-2018,1,1,24.6483825
72,14-03-2018,1,1,24.31791093
73,15-03-2018,1,1,25.70909789
74,16-03-2018,1,1,27.39744688
75,17-03-2018,1,1,29.22924511
76,18-03-2018,1,1,31.47715679
77,19-03-2018,1,1,19.92281935
78,20-03-2018,1,1,24.09089261
79,21-03-2018,1,1,23.59757536
80,22-03-2018,1,1,25.13634067
81,23-03-2018,1,1,26.93292708
82,24-03-2018,1,1,28.8387785
83,25-03-2018,1,1,31.22582882
84,26-03-2018,1,1,19.51511027
85,27-03-2018,1,1,23.57767809
86,28-03-2018,1,1,23.2931736
87,29-03-2018,1,1,24.95713407
88,30-03-2018,1,1,26.70726868
